word,translation,date,fail,success
Terrible,Ужасный,2024-04-26,1,6
Eluded,Ускользнул,2024-04-26,6,18
Generous,Щедрый,2024-04-26,13,33
Tribe,Племя,2024-04-26,3,13
According,В соответствии с,2024-04-26,3,13
Throught,Через,2024-04-26,1,3
Get throught,Преодолеть,2024-04-26,7,20
Here i come,Вот и я,2024-04-26,1,8
There we go,Вот так,2024-04-26,4,14
Hatch,Люк,2024-04-26,0,1
On my way,В пути,2024-04-26,1,9
Go on,Продолжайте,2024-04-26,1,8
Deserve,Заслужить,2024-04-26,9,25
Vain,Тщетно,2024-04-26,3,13
Honest,Честный,2024-04-26,2,15
Acquisition,Приобретение,2024-04-26,11,30
Absorb,Впитывать,2024-04-26,3,15
Encouragement,Поощрение,2024-04-26,11,34
In order to,Для того чтобы,2024-04-26,5,17
Weakness,Слабость,2024-04-28,1,4
Refugees,Беженцы,2024-04-28,3,11
Major,Главная,2024-04-28,5,10
